date,player,team,opponent,prop_type,line,predicted_value,prediction_status,player_actual_sd
2025-07-05,Nate Eaton,BOS - IF,WSH,Hits,0.5,0.17,Success from BR,0.45045375706904445
2025-07-05,Gavin Lux,CIN - IF,PHI,Hits,0.5,0.42,Success from BR,0.858818133894263
2025-07-05,Austin Hedges,CLE - C,DET,Hits,0.5,0.17,Success from BR,0.5519145937532277
2025-07-05,Henry Davis,PIT - C,SEA,Hits,0.5,0.6,Success from BR,0.8081926140997765
2025-07-05,Yandy Díaz,TB - IF,MIN,Total Bases,1.5,3.0,Success (API),1.8889115802749605
2025-07-05,Byron Buxton,MIN - OF,TB,Total Bases,1.5,0.56,Success from BR,2.1920343799021302
2025-07-05,Junior Caminero,TB - IF,MIN,Total Bases,1.5,4.03,Success from BR,2.0926650509841873
2025-07-05,Kody Clemens,MIN - IF,TB,Total Bases,0.5,2.32,Success from BR,1.6448769532720424
2025-07-05,Ian Happ,CHC - OF,STL,Total Bases,1.5,2.47,Success from BR,1.8528636402292986
2025-07-05,Brendan Donovan,STL - IF,CHC,Total Bases,1.5,4.0,Success (API),1.6265516621895886
2025-07-05,Alec Burleson,STL - IF,CHC,Total Bases,1.5,2.0,Success (API),1.6787824926405361
2025-07-05,Dansby Swanson,CHC - IF,STL,Total Bases,1.5,2.24,Success from BR,
2025-07-05,Willson Contreras,STL - IF,CHC,Total Bases,1.5,0.8,Success from BR,1.7253870091830663
2025-07-05,Masyn Winn,STL - IF,CHC,Total Bases,1.5,1.0,Success (API),1.6020130171352251
2025-07-05,Nate Eaton,BOS - IF,WSH,Total Bases,0.5,0.13,Success from BR,
2025-07-05,Cedric Mullins,BAL - OF,ATL,Total Bases,0.5,0.35,Success from BR,
2025-07-05,Gary Sánchez,BAL - C,ATL,Total Bases,0.5,0.82,Success from BR,
2025-07-05,Jordan Beck,COL - OF,CWS,Total Bases,1.5,1.98,Success from BR,
2025-07-05,Denzel Clarke,ATH - OF,SF,Total Bases,0.5,0.81,Success from BR,
2025-07-05,Rafael Devers,SF - DH,ATH,Total Bases,1.5,1.0,Success (API),2.1122070685932237
2025-07-05,Cole Young,SEA - IF,PIT,Total Bases,0.5,0.32,Success from BR,
2025-07-05,Yandy Díaz,TB - IF,MIN,Runs,0.5,0.0,Success (API),0.7009102712246237
2025-07-05,Byron Buxton,MIN - OF,TB,Runs,0.5,0.67,Success from BR,
2025-07-05,Junior Caminero,TB - IF,MIN,Runs,0.5,0.66,Success from BR,
2025-07-05,Dansby Swanson,CHC - IF,STL,Runs,0.5,1.01,Success from BR,
2025-07-05,Bo Bichette,TOR - IF,LAA,Runs,0.5,1.0,Success (API),0.6278278703531013
2025-07-05,Mike Trout,LAA - OF,TOR,Runs,0.5,1.1,Success from BR,
2025-07-05,Addison Barger,TOR - IF,LAA,Runs,0.5,1.01,Success from BR,
2025-07-05,CJ Abrams,WSH - IF,BOS,Runs,0.5,0.0,Success (API),0.7468486302218108
2025-07-05,Bobby Witt Jr.,KC - IF,AZ,Runs,0.5,0.0,Success (API),0.7946583429175545
2025-07-05,William Contreras,MIL - C,MIA,Runs,0.5,0.0,Success (API),0.7394404687499306
2025-07-05,Sal Frelick,MIL - OF,MIA,Runs,0.5,0.0,Success (API),0.6869503886597224
2025-07-05,Ben Rice,NYY - IF,NYM,Runs,0.5,0.11,Success from BR,
2025-07-05,Brooks Baldwin,CWS - IF,COL,Runs,0.5,0.27,Success from BR,
2025-07-05,Kyle Teel,CWS - C,COL,Runs,0.5,0.1,Success from BR,
2025-07-05,Manny Machado,SD - IF,TEX,Runs,0.5,1.0,Success (API),0.7525867882817564
2025-07-05,Matt Chapman,SF - IF,ATH,Runs,0.5,0.47,Success from BR,
2025-07-05,Taj Bradley,TB - P,MIN,Pitcher Strikeouts,5.0,7.55,Success from BR,
2025-07-05,Matthew Liberatore,STL - P,CHC,Pitcher Strikeouts,4.0,8.0,Success (API),2.045301194508988
2025-07-05,Jack Kochanowicz,LAA - P,TOR,Pitcher Strikeouts,2.5,4.23,Success from BR,
2025-07-05,Max Scherzer,TOR - P,LAA,Pitcher Strikeouts,6.0,3.36,Success from BR,
2025-07-05,Mitchell Parker,WSH - P,BOS,Pitcher Strikeouts,4.5,4.88,Success from BR,
2025-07-05,Walker Buehler,BOS - P,WSH,Pitcher Strikeouts,4.0,4.23,Success from BR,
2025-07-05,Nick Lodolo,CIN - P,PHI,Pitcher Strikeouts,5.0,5.0,Success (API),2.330050600838775
2025-07-05,Ranger Suárez,PHI - P,CIN,Pitcher Strikeouts,6.0,4.79,Success from BR,
2025-07-05,Ryne Nelson,AZ - P,KC,Pitcher Strikeouts,4.0,2.4,Success from BR,
2025-07-05,Michael Wacha,KC - P,AZ,Pitcher Strikeouts,4.0,7.0,Success (API),2.2087026388671647
2025-07-05,Cal Quantrill,MIA - P,MIL,Pitcher Strikeouts,3.0,3.78,Success from BR,
